Applicant_ID,Job_ID,Applicant_Text,Job_Text
PWD0001,JOB001,"typing, data entry, Microsoft Office, communication, graphic design Senior High School No formal experience Encoding documents, organizing files, spreadsheet use Data Entry Clerk","Data Entry Clerk typing, data entry, Microsoft Office, communication College level or graduate Encoding documents, organizing files, spreadsheet use"
PWD0001,JOB002,"typing, data entry, Microsoft Office, communication, graphic design Senior High School No formal experience Encoding documents, organizing files, spreadsheet use Data Entry Clerk","Customer Service Representative customer service, communication, computer skills, English Senior High School graduate Answering inquiries, resolving concerns, assisting customers"
PWD0001,JOB003,"typing, data entry, Microsoft Office, communication, graphic design Senior High School No formal experience Encoding documents, organizing files, spreadsheet use Data Entry Clerk","Graphic Designer graphic design, Canva, Photoshop, creativity Design-related education or portfolio Creating posters, editing images, social media graphics"
PWD0001,JOB004,"typing, data entry, Microsoft Office, communication, graphic design Senior High School No formal experience Encoding documents, organizing files, spreadsheet use Data Entry Clerk","Kitchen Assistant cooking, food preparation, cleanliness, teamwork Basic food preparation skills Food preparation, cleaning, kitchen assistance"
PWD0001,JOB005,"typing, data entry, Microsoft Office, communication, graphic design Senior High School No formal experience Encoding documents, organizing files, spreadsheet use Data Entry Clerk","Junior Web Developer HTML, CSS, JavaScript, web development IT or computer-related education Creating webpages, website editing, basic coding"
PWD0001,JOB006,"typing, data entry, Microsoft Office, communication, graphic design Senior High School No formal experience Encoding documents, organizing files, spreadsheet use Data Entry Clerk","Accounting Assistant Excel, bookkeeping, accounting, organization Accounting or business-related education Recording transactions, spreadsheets, filing"
PWD0001,JOB007,"typing, data entry, Microsoft Office, communication, graphic design Senior High School No formal experience Encoding documents, organizing files, spreadsheet use Data Entry Clerk","Content Writer writing, English, research, proofreading Communication, English, or related education Writing articles, researching, proofreading"
PWD0001,JOB008,"typing, data entry, Microsoft Office, communication, graphic design Senior High School No formal experience Encoding documents, organizing files, spreadsheet use Data Entry Clerk","Social Media Assistant social media, Canva, communication, creativity Marketing or related skills preferred Creating posts, managing pages, digital content"
PWD0001,JOB009,"typing, data entry, Microsoft Office, communication, graphic design Senior High School No formal experience Encoding documents, organizing files, spreadsheet use Data Entry Clerk","Inventory Assistant inventory, Excel, organization, record keeping Basic computer and inventory skills Recording stocks, checking inventory, updating records"
PWD0001,JOB010,"typing, data entry, Microsoft Office, communication, graphic design Senior High School No formal experience Encoding documents, organizing files, spreadsheet use Data Entry Clerk","Online Tutor teaching, communication, patience, English Education or subject-related knowledge Online lessons, explaining topics, preparing materials"
PWD0001,JOB011,"typing, data entry, Microsoft Office, communication, graphic design Senior High School No formal experience Encoding documents, organizing files, spreadsheet use Data Entry Clerk","Administrative Assistant typing, Word, Excel, filing, organization Office administration or equivalent experience Document preparation, filing, data entry"
PWD0001,JOB012,"typing, data entry, Microsoft Office, communication, graphic design Senior High School No formal experience Encoding documents, organizing files, spreadsheet use Data Entry Clerk","Sales Assistant sales, communication, customer service, persuasion Customer service or sales experience preferred Assisting customers, explaining products, processing sales"
PWD0001,JOB013,"typing, data entry, Microsoft Office, communication, graphic design Senior High School No formal experience Encoding documents, organizing files, spreadsheet use Data Entry Clerk","Photo Editor photography, photo editing, Photoshop, creativity Portfolio or relevant experience Editing photographs, enhancing images, organizing media"
PWD0001,JOB014,"typing, data entry, Microsoft Office, communication, graphic design Senior High School No formal experience Encoding documents, organizing files, spreadsheet use Data Entry Clerk","Bookkeeping Assistant bookkeeping, Excel, organization, mathematics Accounting or bookkeeping knowledge Recording transactions, organizing financial records"
PWD0001,JOB015,"typing, data entry, Microsoft Office, communication, graphic design Senior High School No formal experience Encoding documents, organizing files, spreadsheet use Data Entry Clerk","Office Assistant computer literacy, typing, communication, email Basic computer skills, college level preferred Email handling, encoding documents, file organization"
PWD0001,JOB016,"typing, data entry, Microsoft Office, communication, graphic design Senior High School No formal experience Encoding documents, organizing files, spreadsheet use Data Entry Clerk","Junior Programmer programming, Python, Java, problem solving IT or computer-related education Writing basic programs, debugging, testing applications"
